Id;Time;LprimaryButton;LprimaryTouch;LsecondaryButton;LsecondaryTouch;LtriggerButton;LtriggerButtonForce;Lprimary2DAxis.x;Lprimary2DAxis.y;Lprimary2DAxisTouch;Lprimary2DAxisClick;Lsecondary2DAxis.x;Lsecondary2DAxis.y;Lsecondary2DAxisTouch;Lsecondary2DAxisClick;LgripButton;LgripButtonForce;LisTracked;LdevicePosition.x;LdevicePosition.y;LdevicePosition.z;LdeviceRotation.w;LdeviceRotation.x;LdeviceRotation.y;LdeviceRotation.z;LdeviceDirection.x;LdeviceDirection.y;LdeviceDirection.z;RprimaryButton;RprimaryTouch;RsecondaryButton;RsecondaryTouch;RtriggerButton;RtriggerButtonForce;Rprimary2DAxis.x;Rprimary2DAxis.y;Rprimary2DAxisTouch;Rprimary2DAxisClick;Rsecondary2DAxis.x;Rsecondary2DAxis.y;Rsecondary2DAxisTouch;Rsecondary2DAxisClick;RgripButton;RgripButtonForce;RisTracked;RdevicePosition.x;RdevicePosition.y;RdevicePosition.z;RdeviceRotation.w;RdeviceRotation.x;RdeviceRotation.y;RdeviceRotation.z;RdeviceDirection.x;RdeviceDirection.y;RdeviceDirection.z;HprimaryButton;HprimaryTouch;HsecondaryButton;HsecondaryTouch;HtriggerButton;HtriggerButtonForce;Hprimary2DAxis.x;Hprimary2DAxis.y;Hprimary2DAxisTouch;Hprimary2DAxisClick;Hsecondary2DAxis.x;Hsecondary2DAxis.y;Hsecondary2DAxisTouch;Hsecondary2DAxisClick;HgripButton;HgripButtonForce;HisTracked;HdevicePosition.x;HdevicePosition.y;HdevicePosition.z;HdeviceRotation.w;HdeviceRotation.x;HdeviceRotation.y;HdeviceRotation.z;HdeviceDirection.x;HdeviceDirection.y;HdeviceDirection.z
8150;113360;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.5350432;-0.2381268;-0.7197315;0.4438526;0.06161302;-0.8919699;0.05990405;-0.7844246;-0.1615594;-0.5988129;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.2615711;0.07095088;-0.4936582;0.3913583;0.02407815;-0.9199014;0.006353462;-0.7197161;-0.03053549;-0.6935966
8151;113373;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.5344071;-0.2382172;-0.7200769;0.4402232;0.0625477;-0.893713;0.05973688;-0.7793936;-0.1618451;-0.6052703;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.2613774;0.07100587;-0.4938902;0.3911809;0.02374282;-0.9199848;0.006458378;-0.7194543;-0.03045869;-0.6938716
8152;113387;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.5340438;-0.2381276;-0.7204664;0.4377623;0.06223586;-0.8949418;0.05975056;-0.7761064;-0.1614356;-0.6095883;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.2612146;0.07103513;-0.4941155;0.3909048;0.0235196;-0.920109;0.006302027;-0.7190537;-0.02998495;-0.6943077
8153;113401;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.5342698;-0.2380217;-0.7206705;0.4390256;0.06168132;-0.8943553;0.05983859;-0.7779079;-0.1611933;-0.6073519;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.2610426;0.07107614;-0.4943183;0.3907173;0.02351877;-0.9201882;0.006353174;-0.7187681;-0.03007061;-0.694599
8154;113415;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.5345401;-0.2380801;-0.720609;0.4428451;0.06321627;-0.892355;0.05995221;-0.7827702;-0.1629873;-0.6005876;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.2608582;0.07109176;-0.4945304;0.3906706;0.02347837;-0.9202091;0.006367298;-0.7186983;-0.03006311;-0.6946721
8155;113429;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.5346189;-0.2383476;-0.7207629;0.4475142;0.06565775;-0.8898377;0.06007548;-0.7885412;-0.1656804;-0.5922441;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.2606985;0.07113035;-0.4947339;0.3904268;0.02328321;-0.9203168;0.006476563;-0.718331;-0.03010176;-0.6950502
8156;113443;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.5343861;-0.2385734;-0.7213323;0.4490992;0.0653287;-0.8889897;0.06115067;-0.7904995;-0.1674028;-0.5891411;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.2605163;0.07114547;-0.4949411;0.3903099;0.02303455;-0.9203715;0.006610654;-0.7181558;-0.03014974;-0.6952287
8157;113457;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.534262;-0.2382901;-0.7215666;0.4477667;0.06342642;-0.8897646;0.06165235;-0.7889931;-0.1665126;-0.5914079;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.2602503;0.0711032;-0.4951677;0.3903468;0.02284895;-0.9203598;0.006724242;-0.7182117;-0.03021547;-0.6951686
8158;113471;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.5355272;-0.2381901;-0.7212638;0.4502518;0.06406954;-0.8885624;0.0602111;-0.7924383;-0.1646975;-0.587296;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.2599873;0.0710597;-0.4953849;0.3903156;0.02280708;-0.9203732;0.006843791;-0.7181598;-0.0304016;-0.695214
8159;113485;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.5383251;-0.2381827;-0.7195272;0.4646355;0.06981847;-0.8808847;0.05728441;-0.8105816;-0.1658022;-0.5616651;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.259818;0.07105199;-0.4955648;0.3902089;0.02281724;-0.920418;0.00686676;-0.7179972;-0.03044756;-0.69538
