Id;Time;LprimaryButton;LprimaryTouch;LsecondaryButton;LsecondaryTouch;LtriggerButton;LtriggerButtonForce;Lprimary2DAxis.x;Lprimary2DAxis.y;Lprimary2DAxisTouch;Lprimary2DAxisClick;Lsecondary2DAxis.x;Lsecondary2DAxis.y;Lsecondary2DAxisTouch;Lsecondary2DAxisClick;LgripButton;LgripButtonForce;LisTracked;LdevicePosition.x;LdevicePosition.y;LdevicePosition.z;LdeviceRotation.w;LdeviceRotation.x;LdeviceRotation.y;LdeviceRotation.z;LdeviceDirection.x;LdeviceDirection.y;LdeviceDirection.z;RprimaryButton;RprimaryTouch;RsecondaryButton;RsecondaryTouch;RtriggerButton;RtriggerButtonForce;Rprimary2DAxis.x;Rprimary2DAxis.y;Rprimary2DAxisTouch;Rprimary2DAxisClick;Rsecondary2DAxis.x;Rsecondary2DAxis.y;Rsecondary2DAxisTouch;Rsecondary2DAxisClick;RgripButton;RgripButtonForce;RisTracked;RdevicePosition.x;RdevicePosition.y;RdevicePosition.z;RdeviceRotation.w;RdeviceRotation.x;RdeviceRotation.y;RdeviceRotation.z;RdeviceDirection.x;RdeviceDirection.y;RdeviceDirection.z;HprimaryButton;HprimaryTouch;HsecondaryButton;HsecondaryTouch;HtriggerButton;HtriggerButtonForce;Hprimary2DAxis.x;Hprimary2DAxis.y;Hprimary2DAxisTouch;Hprimary2DAxisClick;Hsecondary2DAxis.x;Hsecondary2DAxis.y;Hsecondary2DAxisTouch;Hsecondary2DAxisClick;HgripButton;HgripButtonForce;HisTracked;HdevicePosition.x;HdevicePosition.y;HdevicePosition.z;HdeviceRotation.w;HdeviceRotation.x;HdeviceRotation.y;HdeviceRotation.z;HdeviceDirection.x;HdeviceDirection.y;HdeviceDirection.z
6639;92348;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;0.2983657;-0.3943468;0.1932419;-0.6847183;-0.1166639;-0.7167352;0.0619772;0.9670624;-0.2486063;-0.05463982;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.0683197;-0.004488392;0.1570472;-0.7903673;-0.005616011;-0.6116233;0.03471356;0.9664242;-0.05134066;0.2517709
6640;92362;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;0.298035;-0.3938018;0.193045;-0.6848187;-0.1159063;-0.7169635;0.05960156;0.9681637;-0.2442139;-0.05494201;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.06831026;-0.004504902;0.1569999;-0.7902157;-0.00567122;-0.6118155;0.03476826;0.9665381;-0.0515065;0.2512993
6641;92376;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;0.2979019;-0.393274;0.1929644;-0.6854934;-0.1149376;-0.7165757;0.05837267;0.9689975;-0.2412348;-0.05338287;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.06830999;-0.004518585;0.1569591;-0.7899656;-0.005596093;-0.612139;0.03476935;0.9667484;-0.05140879;0.2505089
6642;92390;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;0.2976537;-0.3926801;0.1929097;-0.6862742;-0.1135323;-0.7160957;0.05783891;0.9697428;-0.2386649;-0.05136514;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.06830596;-0.004526103;0.1569028;-0.7897075;-0.00553912;-0.6124688;0.034833;0.9669566;-0.05141682;0.2497026
6643;92403;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;0.2974876;-0.3921302;0.192779;-0.686024;-0.1123207;-0.7165006;0.05815558;0.970009;-0.2374465;-0.05197823;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.06831439;-0.004529772;0.1568412;-0.7894284;-0.005516794;-0.6128265;0.03487501;0.9671804;-0.05145489;0.2488266
6644;92418;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;0.2972679;-0.3917166;0.1928063;-0.6861915;-0.111163;-0.7164981;0.05843479;0.9703183;-0.236295;-0.05145347;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.06833901;-0.00454301;0.1567792;-0.7891034;-0.005436371;-0.6132438;0.03490357;0.967446;-0.05138851;0.2478049
6645;92431;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;0.2972013;-0.3911784;0.1929348;-0.6860402;-0.110434;-0.7168725;0.05698371;0.9710208;-0.2332245;-0.05220366;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.06837649;-0.004562065;0.156709;-0.788781;-0.005326288;-0.6136552;0.0349769;0.9677066;-0.05133007;0.2467978
6646;92445;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;0.2969721;-0.3908099;0.193067;-0.6859409;-0.1102822;-0.7171285;0.05522463;0.9716349;-0.2305004;-0.05287075;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.06839953;-0.004520045;0.1565639;-0.7885032;-0.005283847;-0.614013;0.03496857;0.9679329;-0.05127498;0.2459202
6647;92459;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;0.2969321;-0.3903337;0.1931682;-0.6863317;-0.1105308;-0.7168263;0.05377642;0.9720733;-0.2288183;-0.05211401;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.06843122;-0.004461316;0.156411;-0.7882486;-0.00515729;-0.6143379;0.03502271;0.9681407;-0.051162;0.2451247
6648;92473;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;0.2968179;-0.3901329;0.1930687;-0.6866417;-0.1099485;-0.7165625;0.0545226;0.972054;-0.2291281;-0.05110097;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.06849257;-0.004445523;0.1563565;-0.7880549;-0.005067638;-0.614589;0.03499006;0.9683051;-0.05099617;0.2445094
